escola,municipio,estado,ano,arquivo,disciplina,acertos_medios,total_questoes,percentual_acertos,proficiencia,nivel
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,12.0,22.0,53.18,46.2,Aprendizado intermediário
ESCOLA MUNICIPAL ANESIO FROTA AGUIAR,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANESIO FROTA AGUIAR\Consolidado Saex - 5º ANO.pdf,Matemática,15.0,22.0,66.36,72.8,Aprendizado adequado
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,11.0,22.0,49.39,25.0,Defasagem
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 2º ANO.pdf,Matemática,15.0,22.0,66.23,37.4,Aprendizado intermediário
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,11.0,22.0,50.7,24.9,Defasagem
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 3º ANO.pdf,Matemática,13.0,22.0,58.39,37.6,Aprendizado intermediário
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,12.0,22.0,56.82,46.3,Aprendizado intermediário
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 4º ANO.pdf,Matemática,10.0,22.0,45.13,32.6,Aprendizado intermediário
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,13.0,22.0,60.84,58.8,Aprendizado intermediário
ESCOLA MUNICIPAL ANTONIO DE FREITAS,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL ANTONIO DE FREITAS\Consolidado Saex - 5º ANO.pdf,Matemática,10.0,22.0,44.41,32.8,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 2º ANO.pdf,Língua Portuguesa,14.0,22.0,63.89,50.3,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,2º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 2º ANO.pdf,Matemática,17.0,22.0,75.76,54.0,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 3º ANO.pdf,Língua Portuguesa,17.0,22.0,75.84,66.7,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,3º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 3º ANO.pdf,Matemática,15.0,22.0,70.1,52.4,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 4º ANO.pdf,Língua Portuguesa,19.0,22.0,84.71,95.6,Aprendizado adequado
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,4º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 4º ANO.pdf,Matemática,13.0,22.0,58.68,49.7,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 5º ANO.pdf,Língua Portuguesa,13.0,22.0,60.96,59.8,Aprendizado intermediário
ESCOLA MUNICIPAL HILDA BRAGA,MENDES,RIO DE JANEIRO,5º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\ESCOLA MUNICIPAL HILDA BRAGA\Consolidado Saex - 5º ANO.pdf,Matemática,10.0,22.0,43.85,29.1,Defasagem
