escola,municipio,estado,ano,arquivo,disciplina,percentual_acertos,codigo,habilidade
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,91,D022_M,Identificar a localização ou a movimentação de pessoas ou objetos em uma representação plana do espaço.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,14,D002_M,Classificar triângulos por meio de suas propriedades.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,8,D026_M,Identificar frações equivalentes.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,27,D072_M,Utilizar o cálculo de um valor desconhecido que torna verdadeira uma igualdade na resolução de problemas.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,26,D069_M,"Utilizar números racionais, envolvendo diferentes significados das operações, na resolução de problemas."
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,17,D038_M,"Identificar uma sequência crescente ou decrescente, dentre uma coleção de sequências de números racionais."
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,27,D011_M,Corresponder o horário de início e de término com o intervalo de duração de um evento ou acontecimento.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,48,D044_M,Reconhecer fração como representação associada a diferentes significados.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,37,D081_M,Utilizar porcentagem na resolução de problemas.
CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS,MENDES,RIO DE JANEIRO,6º ANO,C:\Users\User1\Downloads\OneDrive_1_02-06-2026 (1)\CIEP BRIZOLAO MUNICIPALIZADO 288 PROFESSOR RUY GONCALVES RAMOS\Consolidado Saex - 6º ANO.pdf,Matemática,32,D070_M,Utilizar o cálculo da fração de uma quantidade na resolução de problemas.
